,group,variable,month,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO < A 10,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO < A 10,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 10 A 14,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 10 A 14,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 15 A 19,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 15 A 19,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 20 A 34,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 20 A 34,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 35 A 49,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 35 A 49,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 50 Y +,PARTOS ATENDIDOS POR PROVEEDOR CALIFICADO 50 Y +,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,5,1,20,10,7,0,0,0,32,11,43
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,2,0,19,0,0,0,0,0,21,0,21
ALALAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ALCALA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ALTO BENI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
ANCORAIMES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,1,0,5,0,0,0,0,0,6,6
ANDAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por proveedor calificado,2024-01-01,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
