,group,variable,month,DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,15,39,1,5,16,44,60
ACHOCALLA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,13,1,2,2,15,17
AIQUILE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,4,14,0,2,4,16,20
ALTO BENI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,7,13,1,0,8,13,21
ANCORAIMES,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,2,1,0,2,2,4
ANDAMARCA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,1,0,2,2
ANTEQUERA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,0,0,1,1,1,2
ANZALDO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,0,0,4,0,4,4
APOLO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,20,0,5,1,25,26
ARAMPAMPA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,2,0,3,3
ARANI,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,5,0,0,0,5,5
ARBIETO,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,7,1,10,1,17,18
ARQUE,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,0,1,0,3,0,4,4
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,34,0,0,1,34,35
ATOCHA,otras vacunaciones,dt 2da. dosis de 10 a 49 anos,2017-01-01,1,15,1,4,2,19,21
