,group,variable,month,DT 4TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 10 A 49 AÑOS FUERA,DT 4TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,2,0,1,0,3,3
ACHACACHI,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,3,0,4,0,7,7
ACHOCALLA,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,3,0,0,0,3,3
AIQUILE,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,2,3,0,0,2,3,5
ALTO BENI,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,3,7,0,0,3,7,10
ANCORAIMES,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,4,0,0,0,4,4
ANTEQUERA,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,0,0,1,0,1,1
APOLO,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,6,0,2,0,8,8
ARANI,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,1,0,1,0,2,2
ARQUE,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,6,0,0,0,6,6
ATOCHA,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,0,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,1,2,0,3,1,5,6
AZURDUY,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,1,0,0,0,1,0,1
BATALLAS,otras vacunaciones,dt 4ta. dosis de 10 a 49 anos,2017-01-01,0,4,0,0,0,4,4
