,group,variable,month,DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
ACHOCALLA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
ALTO BENI,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,3,4,0,0,3,4,7
ANTEQUERA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,0,0,1,0,1,1
APOLO,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,1,0,1,0,2,2
ARAMPAMPA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
ARQUE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,9,0,1,0,10,10
ATOCHA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,5,0,0,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,2,0,2,0,4,4
BAURES,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,4,0,0,0,4,4
BELLA FLOR,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,1,0,0,0,1,0,1
BOLPEBRA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,0,0,2,0,2,2
BOYUIBE,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,2,0,0,0,2,0,2
BUENA VISTA,otras vacunaciones,dt 5ta. dosis de 10 a 49 anos,2017-01-01,0,7,0,4,0,11,11
