,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BAURES,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,5,1,0,0,5,1,6
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,1,0,2,5,3,5,8
CABEZAS,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,9,19,7,3,16,22,38
CHARAGUA,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,2,2,0,0,2,2,4
CHIPAYA,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,2,1,1,1,3,2,5
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,14,8,5,1,19,9,28
COBIJA,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,0,2,1,2,1,4,5
COCHABAMBA,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,8,3,26,26,34,29,63
COLOMI,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,9,11,32,28,41,39,80
COLQUECHACA,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,23,30,41,61,64,91,155
COLQUENCHA,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,5,2,0,0,5,2,7
CORQUE,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,0,0,9,7,9,7,16
EL ALTO,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,10,12,0,0,10,12,22
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,0,0,2,1,2,1,3
ESMERALDA,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,0,0,5,2,5,2,7
EUCALIPTUS,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,0,0,1,0,1,0,1
EXALTACION,otras vacunaciones,influenza estacional en mayores de 65 anos,2017-01-01,5,7,0,0,5,7,12
