,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-01-01,9,7,0,2,9,9,18
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-01-01,4,4,0,0,4,4,8
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-01-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-01-01,0,1,0,0,0,1,1
SANTIAGO DE HUATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-01-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-01-01,0,2,0,0,0,2,2
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-01-01,1,4,0,0,1,4,5
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-02-01,1,0,0,0,1,0,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-02-01,0,0,3,0,3,0,3
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-02-01,0,0,0,24,0,24,24
IRUPANA (VILLA DE LANZA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-02-01,1,2,0,0,1,2,3
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-02-01,4,3,0,0,4,3,7
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-02-01,1,0,0,0,1,0,1
PASORAPA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2017-02-01,1,0,0,0,1,0,1
