,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BAURES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,25,46,0,0,25,46,71
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,1,2,0,0,1,2,3
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,3,0,0,0,3,0,3
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,6,0,0,0,6,6
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,2,1,0,0,2,1,3
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,1,3,0,0,1,3,4
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,162,76,0,0,162,76,238
COLOMI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,3,2,5,2,8,4,12
COLQUECHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,1,0,1,0,2,2
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,1,5,9,8,10,13,23
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,12,15,0,0,12,15,27
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,0,1,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2017-01-01,0,0,0,2,0,2,2
