,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,4,0,0,0,4,4
BELLA FLOR,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,1,3,0,0,1,3,4
CABEZAS,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,6,2,0,0,6,2,8
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,1,3,0,0,1,3,4
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,2,0,0,0,2,2
CHIPAYA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,0,0,2,0,2,2
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,3,0,0,0,3,3
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,13,17,0,0,13,17,30
COLOMI,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,4,2,0,0,4,2,6
CRUZ DE MACHACAMARCA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,1,1,6,2,7,3,10
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,5,0,0,0,5,5
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,3,1,0,1,3,4
EXALTACION,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,0,0,1,0,1,0,1
FILADELFIA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,4,3,0,0,4,3,7
HUACHACALLA,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,1,3,0,0,1,3,4
HUANUNI,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,3,0,3,5,6,5,11
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2017-01-01,10,20,0,0,10,20,30
