,group,variable,month,DT 3RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 10 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,1,0,1,0,2,2
ACHACACHI,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,7,15,4,5,11,20,31
ACHOCALLA,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,4,0,3,0,7,7
AIQUILE,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,2,8,0,0,2,8,10
ALTO BENI,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,1,5,0,0,1,5,6
ANCORAIMES,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,8,0,1,0,9,9
ANZALDO,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,3,0,5,5
APOLO,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,6,1,1,1,7,8
ARANI,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,0,0,1,0,1,1
ARBIETO,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,3,0,4,0,7,7
ARQUE,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,0,0,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,23,0,0,0,23,23
ATOCHA,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,3,0,0,0,3,3
AYATA,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,0,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,4,2,5,2,9,11
BATALLAS,otras vacunaciones,dt 3ra. dosis de 10 a 49 anos,2017-01-01,0,3,1,5,1,8,9
