,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,57.0,0.0,0.0,0.0,57.0,57.0
BAURES,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CABEZAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
CHARAGUA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,4.0,0.0,1.0,0.0,5.0,5.0
CHIPAYA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
COBIJA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,63.0,0.0,5.0,0.0,68.0,68.0
COCHABAMBA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,37.0,0.0,0.0,0.0,37.0,37.0
COLOMI,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,9.0,0.0,0.0,0.0,9.0,9.0
COLQUECHACA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,8.0,0.0,3.0,0.0,11.0,11.0
COPACABANA,otras vacunaciones,influenza estacional a mujeres embarazadas,2017-01-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
