,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANCORAIMES,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,5,0,0,0,5,5
ARANI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,1,3,0,0,1,3,4
ATOCHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
BELEN DE URMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,2,1,0,0,2,1,3
BERMEJO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,4,0,0,0,4,4
BETANZOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,6,6,0,0,6,6,12
BOLPEBRA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,2,0,0,0,2,2
CABEZAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,1,1,0,0,1,1,2
"CAIZA ""D""",otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
CAQUIAVIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,4,0,0,0,4,4
CARAPARI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
