,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,2,2,0,1,2,3,5
ANCORAIMES,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,3,5,0,0,3,5,8
ARANI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,2,20,0,0,2,20,22
ATOCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,0,2,3,0,3,2,5
BETANZOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,1,0,0,0,1,0,1
CABEZAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,0,2,0,0,0,2,2
CALAMARCA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,0,5,0,0,0,5,5
CAPINOTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,2,10,0,0,2,10,12
CAQUIAVIRI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,0,2,0,0,0,2,2
CHARAGUA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
