,group,variable,month,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANCORAIMES,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
ARANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,0,0,0,1,0,1
ARQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,4,0,0,0,4,4
BERMEJO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,0,0,0,1,0,1
CALAMARCA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,1,2,0,0,1,2,3
COBIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,7,0,0,0,7,7
COCHABAMBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,5,8,0,0,5,8,13
COLLANA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,2,0,0,0,2,2
COLQUENCHA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
COROICO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,2,6,6,1,8,7,15
EL TORNO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2017-01-01,0,5,0,0,0,5,5
