,group,variable,month,DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,2,13,8,16,10,26
ACHACACHI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,12,42,4,7,16,49,65
ACHOCALLA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,15,0,11,2,26,28
AIQUILE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,7,4,0,0,7,4,11
ALCALA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,5,0,0,0,5,5
ALTO BENI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,9,0,1,4,10,14
ANCORAIMES,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,14,4,1,4,15,19
ANDAMARCA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,0,1,0,1,0,1
ANTEQUERA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,7,0,9,9
APOLO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,17,3,5,5,22,27
ARAMPAMPA,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,13,3,1,5,14,19
ARANI,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,2,6,0,0,2,6,8
ARBIETO,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,3,15,1,3,4,18,22
ARQUE,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,0,2,0,2,0,4,4
ASCENCION DE GUARAYOS,otras vacunaciones,dt 1ra. dosis de 10 a 49 anos,2017-01-01,4,49,0,10,4,59,63
