,group,variable,month,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,4,34,39,37,43,80
ACHACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,35,40,201,202,236,242,478
ACHOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,7,99,99,110,106,216
AIQUILE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,29,29,216,189,245,218,463
ALALAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,6,3,17,19,23,22,45
ALCALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,2,2,20,21,22,23,45
ALTO BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,9,11,84,75,93,86,179
ANCORAIMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,12,5,134,99,146,104,250
ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,0,1,39,32,39,33,72
ANTEQUERA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,1,1,24,28,25,29,54
ANZALDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,15,48,33,62,48,110
APOLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,19,12,202,155,221,167,388
ARAMPAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,3,2,12,21,15,23,38
ARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,11,4,114,117,125,121,246
ARBIETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,14,16,164,147,178,163,341
ARQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,5,17,111,79,116,96,212
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-01-01,87,92,210,181,297,273,570
