,group,variable,month,TOTAL 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TOTAL 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TOTAL 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTAL 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,      tratamientos iniciados por sospecha,2014-01-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
BUENA VISTA,malaria,      tratamientos iniciados por sospecha,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COBIJA,malaria,      tratamientos iniciados por sospecha,2014-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
IXIAMAS,malaria,      tratamientos iniciados por sospecha,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,malaria,      tratamientos iniciados por sospecha,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZURDUY,malaria,      tratamientos iniciados por sospecha,2014-02-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
BUENA VISTA,malaria,      tratamientos iniciados por sospecha,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
HUACARETA,malaria,      tratamientos iniciados por sospecha,2014-02-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
IXIAMAS,malaria,      tratamientos iniciados por sospecha,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MONTEAGUDO,malaria,      tratamientos iniciados por sospecha,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
AZURDUY,malaria,      tratamientos iniciados por sospecha,2014-03-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
COBIJA,malaria,      tratamientos iniciados por sospecha,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL TORNO,malaria,      tratamientos iniciados por sospecha,2014-03-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
GUAYARAMERIN,malaria,      tratamientos iniciados por sospecha,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
