,group,variable,month,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ALCALA,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
APOLO,malaria,      numero de muestras hematicas tomadas,2014-01-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
AZURDUY,malaria,      numero de muestras hematicas tomadas,2014-01-01,12.0,19.0,0.0,0.0,12.0,19.0,31.0
BAURES,malaria,      numero de muestras hematicas tomadas,2014-01-01,28.0,23.0,0.0,0.0,28.0,23.0,51.0
BELLA FLOR,malaria,      numero de muestras hematicas tomadas,2014-01-01,29.0,10.0,0.0,0.0,29.0,10.0,39.0
BERMEJO,malaria,      numero de muestras hematicas tomadas,2014-01-01,22.0,17.0,0.0,0.0,22.0,17.0,39.0
BUENA VISTA,malaria,      numero de muestras hematicas tomadas,2014-01-01,11.0,11.0,0.0,0.0,11.0,11.0,22.0
CABEZAS,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CAMARGO,malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,26.0,0.0,0.0,0.0,26.0,26.0
CAMATAQUI (C. VILLA ABECIA),malaria,      numero de muestras hematicas tomadas,2014-01-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
CAMIRI,malaria,      numero de muestras hematicas tomadas,2014-01-01,22.0,22.0,0.0,0.0,22.0,22.0,44.0
CARANAVI,malaria,      numero de muestras hematicas tomadas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CARAPARI,malaria,      numero de muestras hematicas tomadas,2014-01-01,72.0,108.0,0.0,0.0,72.0,108.0,180.0
