,group,variable,month,TOTAL 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTAL 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,malaria,      total de casos confirmados,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
AZURDUY,malaria,      total de casos confirmados,2014-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
BAURES,malaria,      total de casos confirmados,2014-01-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
CARANAVI,malaria,      total de casos confirmados,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,malaria,      total de casos confirmados,2014-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
COCHABAMBA,malaria,      total de casos confirmados,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ENTRE RIOS TRJ,malaria,      total de casos confirmados,2014-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
EUREKA (SANTOS MERCADO),malaria,      total de casos confirmados,2014-01-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
GUAYARAMERIN,malaria,      total de casos confirmados,2014-01-01,68.0,44.0,13.0,19.0,81.0,63.0,144.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      total de casos confirmados,2014-01-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      total de casos confirmados,2014-01-01,4.0,7.0,0.0,0.0,4.0,7.0,11.0
PUERTO GONZALO MORENO,malaria,      total de casos confirmados,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO RICO,malaria,      total de casos confirmados,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
REYES,malaria,      total de casos confirmados,2014-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,      total de casos confirmados,2014-01-01,58.0,23.0,0.0,1.0,58.0,24.0,82.0
