,group,variable,month,TOTAL 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,TOTAL 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,TOTAL 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTAL 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
BUENA VISTA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EUREKA (SANTOS MERCADO),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-01-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
GUAYARAMERIN,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-01-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-01-01,2.0,6.0,0.0,0.0,2.0,6.0,8.0
RIBERALTA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-01-01,11.0,0.0,0.0,0.0,11.0,0.0,11.0
SANTA CRUZ DE LA SIERRA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
YACUIBA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
AZURDUY,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-02-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
COBIJA,malaria,      numero de tratamientos iniciados antes de las 48 horas,2014-02-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
