,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos de 15 anos y mas,2017-01-01,1,0,0,2,1,2,3
ALCALA,chagas,tratamientos de 15 anos y mas,2017-01-01,0,1,1,1,1,2,3
ARBIETO,chagas,tratamientos de 15 anos y mas,2017-01-01,1,5,0,0,1,5,6
BERMEJO,chagas,tratamientos de 15 anos y mas,2017-01-01,2,3,0,0,2,3,5
CAMARGO,chagas,tratamientos de 15 anos y mas,2017-01-01,0,1,0,0,0,1,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2017-01-01,4,4,1,1,5,5,10
CARAPARI,chagas,tratamientos de 15 anos y mas,2017-01-01,2,2,1,2,3,4,7
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2017-01-01,0,1,0,0,0,1,1
CLIZA,chagas,tratamientos de 15 anos y mas,2017-01-01,0,0,0,1,0,1,1
COBIJA,chagas,tratamientos de 15 anos y mas,2017-01-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2017-01-01,23,45,14,22,37,67,104
COMARAPA,chagas,tratamientos de 15 anos y mas,2017-01-01,2,1,2,0,4,1,5
CORIPATA,chagas,tratamientos de 15 anos y mas,2017-01-01,0,0,0,1,0,1,1
COTAGAITA,chagas,tratamientos de 15 anos y mas,2017-01-01,0,1,0,0,0,1,1
CUCHUMUELA (V. G. VILLARROEL),chagas,tratamientos de 15 anos y mas,2017-01-01,0,0,0,1,0,1,1
EL TORNO,chagas,tratamientos de 15 anos y mas,2017-01-01,5,4,5,2,10,6,16
ENTRE RIOS TRJ,chagas,tratamientos de 15 anos y mas,2017-01-01,2,0,0,0,2,0,2
MAIRANA,chagas,tratamientos de 15 anos y mas,2017-01-01,1,0,0,0,1,0,1
MOJOCOYA,chagas,tratamientos de 15 anos y mas,2017-01-01,0,0,0,1,0,1,1
