,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ARBIETO,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,1,0,0,0,1,0,1
CLIZA,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,1,0,0,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,0,1,1,3,1,4,5
MOJOCOYA,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,0,0,0,1,0,1,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,0,1,0,0,0,1,1
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,1,1,0,0,1,1,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,1,1,1,0,2,1,3
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2017-01-01,0,1,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,1,0,0,0,1,0,1
ICLA,chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,2,1,1,0,3,1,4
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,1,0,1,0,2,0,2
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2017-02-01,0,0,0,1,0,1,1
