,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-01-01,1,0,0,0,1,0,1
MINEROS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-01-01,0,0,0,1,0,1,1
PORONGO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-01-01,0,1,0,1,0,2,2
QUIRUSILLAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-01-01,0,1,0,0,0,1,1
EL TORNO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-02-01,0,0,0,1,0,1,1
MINEROS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-02-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-02-01,0,0,2,0,2,0,2
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-02-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-02-01,0,1,0,0,0,1,1
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-02-01,0,0,0,1,0,1,1
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-03-01,0,0,1,0,1,0,1
BERMEJO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-03-01,1,0,0,0,1,0,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-03-01,1,0,0,0,1,0,1
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-03-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-03-01,0,0,1,1,1,1,2
CAMARGO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2017-04-01,1,0,0,0,1,0,1
