,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,0,1,0,1,0,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,1,0,0,0,1,1
MAIRANA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,1,0,0,0,1,1
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,1,0,0,0,1,1
PADILLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,0,1,0,1,0,1
PASORAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,0,1,0,1,0,1
PORONGO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,3,0,1,0,4,0,4
SAIPINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,4,3,0,0,4,3,7
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,6,0,0,0,6,6
TUPIZA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,1,0,0,1,1,1,2
VILLA MONTES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-01-01,0,1,0,0,0,1,1
CORIPATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2017-02-01,0,0,0,1,0,1,1
