,group,variable,month,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLIVAR,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CLIZA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,0,0,8,2,1,4,12,16,28
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ORURO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
QUILLACOLLO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3
