,group,variable,month,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ACHOCALLA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANDAMARCA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,3
ATOCHA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
BETANZOS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CABEZAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,6,2,8
CAJUATA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,2,4
CHACARILLA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
