,group,variable,month,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERMEJO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARANAVI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,2,5,7
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,9,1,10
QUILLACOLLO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,3,1,4
SACABA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,4,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,5,3,8
