,group,variable,month,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CABEZAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0,0,1,0,11,2,13
CARANAVI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,18,2,20
COTAGAITA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTOCA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,2,4
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,9,3,1,1,0,0,0,1,12,6,18
LA ASUNTA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable renales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,2,4,6
