,group,variable,month,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,COVID-19 1RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANCORAIMES,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
ATOCHA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,0,4,3,7
BETANZOS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CABEZAS,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,2,9,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,9,14
"CAIZA ""D""",otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CAJUATA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2,0,0,0,0,6,6,12
CHACARILLA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,4,1,5
CHAYANTA,otras vacunaciones,covid-19 1ra dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
