,group,variable,month,DT 1RA DOSIS 5 A 9 - D,DT 1RA DOSIS 5 A 9 - D,DT 1RA DOSIS 5 A 9 - F,DT 1RA DOSIS 5 A 9 - F,DT 1RA DOSIS 10 AÑOS - D,DT 1RA DOSIS 10 AÑOS - D,DT 1RA DOSIS 10 AÑOS - F,DT 1RA DOSIS 10 AÑOS - F,DT 1RA DOSIS 11 AÑOS - D,DT 1RA DOSIS 11 AÑOS - D,DT 1RA DOSIS 11 AÑOS - F,DT 1RA DOSIS 11 AÑOS - F,DT 1RA DOSIS 12 A 20 - D,DT 1RA DOSIS 12 A 20 - D,DT 1RA DOSIS 12 A 20 - F,DT 1RA DOSIS 12 A 20 - F,DT 1RA DOSIS 21 A 59 - D,DT 1RA DOSIS 21 A 59 - D,DT 1RA DOSIS 21 A 59 - F,DT 1RA DOSIS 21 A 59 - F,DT 1RA DOSIS 60 Y MAS - D,DT 1RA DOSIS 60 Y MAS - D,DT 1RA DOSIS 60 Y MAS - F,DT 1RA DOSIS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,4
ACHACACHI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,1,1,1,0,0,0,0,0,22,1,23
ACHOCALLA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
AIQUILE,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,4,0,0,0,0,0,0,5,7,12
ALTO BENI,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,3,0,2,3,3,3,0,0,0,0,0,0,0,0,0,0,8,6,14
ANCORAIMES,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,2,3,5
ANDAMARCA,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3
ANZALDO,otras vacunaciones,dt 1ra dosis,2024-01-01,0,0,3,2,0,0,1,1,0,0,1,3,2,2,1,1,1,1,0,0,1,0,0,0,10,10,20
