,group,variable,month,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - F,COVID-19 DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,otras vacunaciones,covid-19 dosis unica,2024-01-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
ACHACACHI,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,10,5,13,11,19,21,66,67,8,8,15,14,132,126,258
ACHOCALLA,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,1,0,0,2,4,5,9
AIQUILE,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,6,11,5,3,11,15,11,20,33,58,91
ALALAY,otras vacunaciones,covid-19 dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,3,4,7
ALCALA,otras vacunaciones,covid-19 dosis unica,2024-01-01,1,3,0,0,0,1,0,0,0,1,0,0,2,1,0,1,8,23,4,7,5,5,2,2,22,44,66
ALTO BENI,otras vacunaciones,covid-19 dosis unica,2024-01-01,11,16,63,48,0,0,10,13,3,3,8,4,0,3,3,21,17,0,0,0,0,0,0,0,115,108,223
ANCORAIMES,otras vacunaciones,covid-19 dosis unica,2024-01-01,3,5,1,0,0,2,0,0,0,0,0,0,2,0,3,7,7,8,11,16,3,0,9,11,39,49,88
