,group,variable,month,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 5 A 9 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 5 A 9 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 5 A 9 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 5 A 9 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 10 AÑOS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 10 AÑOS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 10 AÑOS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 10 AÑOS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 11 AÑOS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 11 AÑOS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 11 AÑOS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 11 AÑOS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 12 A 20 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 12 A 20 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 12 A 20 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 12 A 20 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 21 A 59 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 21 A 59 - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 21 A 59 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 21 A 59 - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 60 Y MAS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 60 Y MAS - D,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 60 Y MAS - F,HEPATITIS B 2DA DOSIS TRABAJADORES DE SALUD 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIQUILE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ARANI,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ARBIETO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
ARQUE,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ATOCHA,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BATALLAS,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
BAURES,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b 2da dosis trabajadores de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
