,group,variable,month,DT 2DA DOSIS 5 A 9 - D,DT 2DA DOSIS 5 A 9 - D,DT 2DA DOSIS 5 A 9 - F,DT 2DA DOSIS 5 A 9 - F,DT 2DA DOSIS 10 AÑOS - D,DT 2DA DOSIS 10 AÑOS - D,DT 2DA DOSIS 10 AÑOS - F,DT 2DA DOSIS 10 AÑOS - F,DT 2DA DOSIS 11 AÑOS - D,DT 2DA DOSIS 11 AÑOS - D,DT 2DA DOSIS 11 AÑOS - F,DT 2DA DOSIS 11 AÑOS - F,DT 2DA DOSIS 12 A 20 - D,DT 2DA DOSIS 12 A 20 - D,DT 2DA DOSIS 12 A 20 - F,DT 2DA DOSIS 12 A 20 - F,DT 2DA DOSIS 21 A 59 - D,DT 2DA DOSIS 21 A 59 - D,DT 2DA DOSIS 21 A 59 - F,DT 2DA DOSIS 21 A 59 - F,DT 2DA DOSIS 60 Y MAS - D,DT 2DA DOSIS 60 Y MAS - D,DT 2DA DOSIS 60 Y MAS - F,DT 2DA DOSIS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
AIQUILE,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,2,5,0,0,0,0,0,0,5,8,13
ALTO BENI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,1,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,4,6,10
ANDAMARCA,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,4,5
ANZALDO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
APOLO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,10,10
ARANI,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,3,4,7
ARBIETO,otras vacunaciones,dt 2da dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,10,3,2,2,0,0,0,0,14,7,21
