,group,variable,month,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,COVID-19 2DA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ACHOCALLA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ATOCHA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,20,48,0,0,0,0,22,64,86
BETANZOS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
CABEZAS,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,1,8
CAJUATA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
CHIMORE,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,4,5,9
CHUMA,otras vacunaciones,covid-19 2da dosis (inmunodeprimidos),2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
