,group,variable,month,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERMEJO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,3,2,5
"COLCHA ""K""",otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CORIPATA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,5,14,0,8,0,1,0,0,9,24,33
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
