,group,variable,month,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,7,0,0,0,0,5,11,16
ACHACACHI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,2,1,0,0,0,0,0,0,0,0,1,5,0,0,5,5,40,24,0,0,0,0,48,35,83
ALCALA,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,9,0,1,0,0,0,0,2,12,14
ALTO BENI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,3,5,24,22,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,40,77
ANCORAIMES,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,1,0,0,0,0,4,4,8
ANZALDO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,3
APOLO,otras vacunaciones,antiamarilica dosis unica,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
ARANI,otras vacunaciones,antiamarilica dosis unica,2024-01-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,0,0,0,0,7,6,13
