,group,variable,month,DT 5TA DOSIS 5 A 9 - D,DT 5TA DOSIS 5 A 9 - D,DT 5TA DOSIS 5 A 9 - F,DT 5TA DOSIS 5 A 9 - F,DT 5TA DOSIS 10 AÑOS - D,DT 5TA DOSIS 10 AÑOS - D,DT 5TA DOSIS 10 AÑOS - F,DT 5TA DOSIS 10 AÑOS - F,DT 5TA DOSIS 11 AÑOS - D,DT 5TA DOSIS 11 AÑOS - D,DT 5TA DOSIS 11 AÑOS - F,DT 5TA DOSIS 11 AÑOS - F,DT 5TA DOSIS 12 A 20 - D,DT 5TA DOSIS 12 A 20 - D,DT 5TA DOSIS 12 A 20 - F,DT 5TA DOSIS 12 A 20 - F,DT 5TA DOSIS 21 A 59 - D,DT 5TA DOSIS 21 A 59 - D,DT 5TA DOSIS 21 A 59 - F,DT 5TA DOSIS 21 A 59 - F,DT 5TA DOSIS 60 Y MAS - D,DT 5TA DOSIS 60 Y MAS - D,DT 5TA DOSIS 60 Y MAS - F,DT 5TA DOSIS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIQUILE,otras vacunaciones,dt 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,4,5
ALCALA,otras vacunaciones,dt 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ARANI,otras vacunaciones,dt 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ARBIETO,otras vacunaciones,dt 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
ARQUE,otras vacunaciones,dt 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BATALLAS,otras vacunaciones,dt 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BELLA FLOR,otras vacunaciones,dt 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
