,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - F,INFLUENZA ESTACIONAL A PERSONAL DE SALUD 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
AUCAPATA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,2,3,5
CAJUATA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
CAQUIAVIRI,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,2,0,0,0,4,5,9
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CATACORA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,0,0,3,6,9
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
CHUA COCANI,otras vacunaciones,influenza estacional a personal de salud,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,36,42,82,0,0,0,0,61,118,179
