,group,variable,month,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,HEPATITIS B 3RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARQUE,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
"COLCHA ""K""",otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,1,1,0,0,0,10,4,14
ORURO,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PADCAYA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
SACABA,otras vacunaciones,hepatitis b 3ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
