,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 5 A 9 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 10 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 11 AÑOS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 12 A 20 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 21 A 59 - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - D,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - F,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,2,0,0,0,0,0,12,12
ANCORAIMES,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
APOLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AUCAPATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,4,4
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,1,0,0,0,0,0,11,11
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,5,5
"CAIZA ""D""",otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,4
CAJUATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,13,13
