,group,variable,month,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 5 A 9 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 10 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 11 AÑOS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 12 A 20 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 21 A 59 - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - D,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,HEPATITIS B 1RA DOSIS POBLACION VULNERABLE VIH 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTO BENI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,0,0,0,0,19,29,48
BERMEJO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
CHALLAPATA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,6
COCHABAMBA,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,42,26,0,0,44,27,71
COLOMI,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CORQUE,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 1ra dosis poblacion vulnerable vih,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,13,17,1,0,2,0,0,23,18,41
