,group,variable,month,DT 3RA DOSIS 5 A 9 - D,DT 3RA DOSIS 5 A 9 - D,DT 3RA DOSIS 5 A 9 - F,DT 3RA DOSIS 5 A 9 - F,DT 3RA DOSIS 10 AÑOS - D,DT 3RA DOSIS 10 AÑOS - D,DT 3RA DOSIS 10 AÑOS - F,DT 3RA DOSIS 10 AÑOS - F,DT 3RA DOSIS 11 AÑOS - D,DT 3RA DOSIS 11 AÑOS - D,DT 3RA DOSIS 11 AÑOS - F,DT 3RA DOSIS 11 AÑOS - F,DT 3RA DOSIS 12 A 20 - D,DT 3RA DOSIS 12 A 20 - D,DT 3RA DOSIS 12 A 20 - F,DT 3RA DOSIS 12 A 20 - F,DT 3RA DOSIS 21 A 59 - D,DT 3RA DOSIS 21 A 59 - D,DT 3RA DOSIS 21 A 59 - F,DT 3RA DOSIS 21 A 59 - F,DT 3RA DOSIS 60 Y MAS - D,DT 3RA DOSIS 60 Y MAS - D,DT 3RA DOSIS 60 Y MAS - F,DT 3RA DOSIS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,5,5
AIQUILE,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,8,0,0,0,0,0,0,1,12,13
ALALAY,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ALCALA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALTO BENI,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
ANDAMARCA,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ANZALDO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
APOLO,otras vacunaciones,dt 3ra dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,3
