,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas que abandonaron esquema,2021-01-01,1,0,1,0,1
ATOCHA,rabia,no de personas que abandonaron esquema,2021-01-01,0,1,0,1,1
CHIMORE,rabia,no de personas que abandonaron esquema,2021-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2021-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2021-01-01,15,8,15,8,23
CONCEPCION,rabia,no de personas que abandonaron esquema,2021-01-01,1,0,1,0,1
COPACABANA,rabia,no de personas que abandonaron esquema,2021-01-01,2,0,2,0,2
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2021-01-01,0,2,0,2,2
EL ALTO,rabia,no de personas que abandonaron esquema,2021-01-01,4,4,4,4,8
LA ASUNTA,rabia,no de personas que abandonaron esquema,2021-01-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2021-01-01,4,5,4,5,9
MONTERO,rabia,no de personas que abandonaron esquema,2021-01-01,0,1,0,1,1
ORURO,rabia,no de personas que abandonaron esquema,2021-01-01,4,1,4,1,5
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2021-01-01,0,1,0,1,1
PORONGO,rabia,no de personas que abandonaron esquema,2021-01-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2021-01-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2021-01-01,1,2,1,2,3
SAMAIPATA,rabia,no de personas que abandonaron esquema,2021-01-01,0,1,0,1,1
SAN CARLOS,rabia,no de personas que abandonaron esquema,2021-01-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2021-01-01,3,6,3,6,9
SUCRE,rabia,no de personas que abandonaron esquema,2021-01-01,15,1,15,1,16
TRINIDAD,rabia,no de personas que abandonaron esquema,2021-01-01,2,1,2,1,3
VIACHA,rabia,no de personas que abandonaron esquema,2021-01-01,2,0,2,0,2
WARNES,rabia,no de personas que abandonaron esquema,2021-01-01,1,2,1,2,3
YOTALA,rabia,no de personas que abandonaron esquema,2021-01-01,0,1,0,1,1
CAPINOTA,rabia,no de personas que abandonaron esquema,2021-02-01,1,0,1,0,1
CARANAVI,rabia,no de personas que abandonaron esquema,2021-02-01,2,1,2,1,3
COCHABAMBA,rabia,no de personas que abandonaron esquema,2021-02-01,11,7,11,7,18
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2021-02-01,1,0,1,0,1
COPACABANA,rabia,no de personas que abandonaron esquema,2021-02-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2021-02-01,1,1,1,1,2
EL ALTO,rabia,no de personas que abandonaron esquema,2021-02-01,2,3,2,3,5
GUANAY,rabia,no de personas que abandonaron esquema,2021-02-01,1,1,1,1,2
LA ASUNTA,rabia,no de personas que abandonaron esquema,2021-02-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2021-02-01,4,3,4,3,7
MONTERO,rabia,no de personas que abandonaron esquema,2021-02-01,1,1,1,1,2
ORURO,rabia,no de personas que abandonaron esquema,2021-02-01,6,5,6,5,11
PORONGO,rabia,no de personas que abandonaron esquema,2021-02-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas que abandonaron esquema,2021-02-01,1,0,1,0,1
PUCARANI,rabia,no de personas que abandonaron esquema,2021-02-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2021-02-01,1,1,1,1,2
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2021-02-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2021-02-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2021-02-01,4,4,4,4,8
SUCRE,rabia,no de personas que abandonaron esquema,2021-02-01,14,7,14,7,21
