,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ARANI,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
CAJUATA,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
CAMIRI,rabia,no de personas con esquema reducido completo,2021-01-01,2,1,2,1,3
CAPINOTA,rabia,no de personas con esquema reducido completo,2021-01-01,3,2,3,2,5
CARANAVI,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
CHUMA,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2021-01-01,41,28,41,28,69
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
COLPA BELGICA,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
COMARAPA,rabia,no de personas con esquema reducido completo,2021-01-01,2,1,2,1,3
CONCEPCION,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
COPACABANA,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
CORO CORO,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
COROICO,rabia,no de personas con esquema reducido completo,2021-01-01,1,1,1,1,2
COTOCA,rabia,no de personas con esquema reducido completo,2021-01-01,3,7,3,7,10
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2021-01-01,2,3,2,3,5
EL ALTO,rabia,no de personas con esquema reducido completo,2021-01-01,29,23,29,23,52
EL TORNO,rabia,no de personas con esquema reducido completo,2021-01-01,6,4,6,4,10
ENTRE RIOS CBBA,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2021-01-01,1,1,1,1,2
HUANUNI,rabia,no de personas con esquema reducido completo,2021-01-01,3,0,3,0,3
ICLA,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema reducido completo,2021-01-01,14,9,14,9,23
LA PAZ,rabia,no de personas con esquema reducido completo,2021-01-01,41,28,41,28,69
LAJA,rabia,no de personas con esquema reducido completo,2021-01-01,0,2,0,2,2
MALLA,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema reducido completo,2021-01-01,5,7,5,7,12
OKINAWA,rabia,no de personas con esquema reducido completo,2021-01-01,1,1,1,1,2
ORURO,rabia,no de personas con esquema reducido completo,2021-01-01,7,5,7,5,12
PADILLA,rabia,no de personas con esquema reducido completo,2021-01-01,1,1,1,1,2
PORONGO,rabia,no de personas con esquema reducido completo,2021-01-01,1,1,1,1,2
PORTACHUELO,rabia,no de personas con esquema reducido completo,2021-01-01,2,3,2,3,5
PUCARA,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
PUERTO CARABUCO,rabia,no de personas con esquema reducido completo,2021-01-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema reducido completo,2021-01-01,4,5,4,5,9
PUNATA,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2021-01-01,4,3,4,3,7
SACABA,rabia,no de personas con esquema reducido completo,2021-01-01,11,7,11,7,18
SAN BORJA,rabia,no de personas con esquema reducido completo,2021-01-01,2,0,2,0,2
SAN CARLOS,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2021-01-01,5,3,5,3,8
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema reducido completo,2021-01-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,rabia,no de personas con esquema reducido completo,2021-01-01,0,1,0,1,1
