,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,2,0,2,2
ARBIETO,rabia,no de personas con vacuna antirrabica,2021-01-01,2,1,2,1,3
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
BERMEJO,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
"CAIZA ""D""",rabia,no de personas con vacuna antirrabica,2021-01-01,2,1,2,1,3
CAJUATA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
CALAMARCA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,3,0,3,3
CAMIRI,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
CAQUIAVIRI,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
CARACOLLO,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
CARANAVI,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,4,0,4,4
CHIMORE,rabia,no de personas con vacuna antirrabica,2021-01-01,3,1,3,1,4
CHUA COCANI,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2021-01-01,2,0,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
CLIZA,rabia,no de personas con vacuna antirrabica,2021-01-01,5,2,5,2,7
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2021-01-01,59,57,59,57,116
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
COLOMI,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
COLPA BELGICA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,3,0,3,3
CONCEPCION,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
CORIPATA,rabia,no de personas con vacuna antirrabica,2021-01-01,2,0,2,0,2
COROICO,rabia,no de personas con vacuna antirrabica,2021-01-01,3,2,3,2,5
COTOCA,rabia,no de personas con vacuna antirrabica,2021-01-01,7,8,7,8,15
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2021-01-01,3,4,3,4,7
EL ALTO,rabia,no de personas con vacuna antirrabica,2021-01-01,67,48,67,48,115
EL TORNO,rabia,no de personas con vacuna antirrabica,2021-01-01,6,12,6,12,18
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
GUANAY,rabia,no de personas con vacuna antirrabica,2021-01-01,1,1,1,1,2
HUANUNI,rabia,no de personas con vacuna antirrabica,2021-01-01,7,3,7,3,10
HUARINA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
ICLA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
JESUS DE MACHACA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,1,0,1,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,2,1,2,3
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2021-01-01,17,15,17,15,32
LA PAZ,rabia,no de personas con vacuna antirrabica,2021-01-01,81,195,81,195,276
LAJA,rabia,no de personas con vacuna antirrabica,2021-01-01,0,2,0,2,2
MALLA,rabia,no de personas con vacuna antirrabica,2021-01-01,1,0,1,0,1
