,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,rabia,no de personas con esquema clasico completo,2021-01-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2021-01-01,2,1,2,1,3
ANCORAIMES,rabia,no de personas con esquema clasico completo,2021-01-01,0,1,0,1,1
CAMARGO,rabia,no de personas con esquema clasico completo,2021-01-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2021-01-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-01-01,4,8,4,8,12
COMARAPA,rabia,no de personas con esquema clasico completo,2021-01-01,0,1,0,1,1
CORIPATA,rabia,no de personas con esquema clasico completo,2021-01-01,0,1,0,1,1
COROICO,rabia,no de personas con esquema clasico completo,2021-01-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2021-01-01,2,0,2,0,2
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2021-01-01,1,1,1,1,2
CURVA,rabia,no de personas con esquema clasico completo,2021-01-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema clasico completo,2021-01-01,16,7,16,7,23
EL TORNO,rabia,no de personas con esquema clasico completo,2021-01-01,7,5,7,5,12
ICHOCA,rabia,no de personas con esquema clasico completo,2021-01-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-01-01,8,9,8,9,17
LA PAZ,rabia,no de personas con esquema clasico completo,2021-01-01,7,28,7,28,35
ORURO,rabia,no de personas con esquema clasico completo,2021-01-01,1,2,1,2,3
PORONGO,rabia,no de personas con esquema clasico completo,2021-01-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2021-01-01,18,16,18,16,34
PUERTO ACOSTA,rabia,no de personas con esquema clasico completo,2021-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2021-01-01,1,1,1,1,2
ROBORE,rabia,no de personas con esquema clasico completo,2021-01-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema clasico completo,2021-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2021-01-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2021-01-01,72,68,72,68,140
SORATA,rabia,no de personas con esquema clasico completo,2021-01-01,0,1,0,1,1
TRIGAL,rabia,no de personas con esquema clasico completo,2021-01-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2021-01-01,15,6,15,6,21
VIACHA,rabia,no de personas con esquema clasico completo,2021-01-01,5,3,5,3,8
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2021-01-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema clasico completo,2021-01-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2021-01-01,9,5,9,5,14
ACHOCALLA,rabia,no de personas con esquema clasico completo,2021-02-01,2,0,2,0,2
CHAYANTA,rabia,no de personas con esquema clasico completo,2021-02-01,0,1,0,1,1
CHIMORE,rabia,no de personas con esquema clasico completo,2021-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2021-02-01,9,8,9,8,17
CORIPATA,rabia,no de personas con esquema clasico completo,2021-02-01,2,0,2,0,2
COTOCA,rabia,no de personas con esquema clasico completo,2021-02-01,5,2,5,2,7
EL ALTO,rabia,no de personas con esquema clasico completo,2021-02-01,15,5,15,5,20
EL TORNO,rabia,no de personas con esquema clasico completo,2021-02-01,2,0,2,0,2
EUCALIPTUS,rabia,no de personas con esquema clasico completo,2021-02-01,0,1,0,1,1
HUARINA,rabia,no de personas con esquema clasico completo,2021-02-01,0,1,0,1,1
ICLA,rabia,no de personas con esquema clasico completo,2021-02-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2021-02-01,5,4,5,4,9
LA PAZ,rabia,no de personas con esquema clasico completo,2021-02-01,17,21,17,21,38
