,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2015-01-01,16,47,0,0,16,47,63
ACHACACHI,consulta externa,personas de 40 a 49 anos,2015-01-01,38,59,4,15,42,74,116
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2015-01-01,5,14,3,4,8,18,26
AIQUILE,consulta externa,personas de 40 a 49 anos,2015-01-01,60,90,14,29,74,119,193
ALALAY,consulta externa,personas de 40 a 49 anos,2015-01-01,1,3,0,2,1,5,6
ALCALA,consulta externa,personas de 40 a 49 anos,2015-01-01,9,34,0,0,9,34,43
ALTO BENI,consulta externa,personas de 40 a 49 anos,2015-01-01,41,45,1,0,42,45,87
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2015-01-01,12,24,1,0,13,24,37
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2015-01-01,27,14,1,0,28,14,42
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2015-01-01,3,9,0,2,3,11,14
ANZALDO,consulta externa,personas de 40 a 49 anos,2015-01-01,63,169,10,14,73,183,256
APOLO,consulta externa,personas de 40 a 49 anos,2015-01-01,28,33,4,5,32,38,70
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2015-01-01,5,5,0,0,5,5,10
ARANI,consulta externa,personas de 40 a 49 anos,2015-01-01,12,19,0,1,12,20,32
ARBIETO,consulta externa,personas de 40 a 49 anos,2015-01-01,15,25,3,23,18,48,66
ARQUE,consulta externa,personas de 40 a 49 anos,2015-01-01,22,35,0,0,22,35,57
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2015-01-01,30,30,7,5,37,35,72
ATOCHA,consulta externa,personas de 40 a 49 anos,2015-01-01,278,235,57,36,335,271,606
AUCAPATA,consulta externa,personas de 40 a 49 anos,2015-01-01,10,18,0,0,10,18,28
AYATA,consulta externa,personas de 40 a 49 anos,2015-01-01,11,46,0,4,11,50,61
AYO AYO,consulta externa,personas de 40 a 49 anos,2015-01-01,15,15,8,1,23,16,39
