,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2015-01-01,10,9,0,0,10,9,19
ACHACACHI,consulta externa,menores de 6 meses,2015-01-01,99,74,43,45,142,119,261
ACHOCALLA,consulta externa,menores de 6 meses,2015-01-01,24,31,4,3,28,34,62
AIQUILE,consulta externa,menores de 6 meses,2015-01-01,44,39,6,2,50,41,91
ALALAY,consulta externa,menores de 6 meses,2015-01-01,3,3,1,1,4,4,8
ALCALA,consulta externa,menores de 6 meses,2015-01-01,25,14,2,0,27,14,41
ALTO BENI,consulta externa,menores de 6 meses,2015-01-01,66,74,1,1,67,75,142
ANCORAIMES,consulta externa,menores de 6 meses,2015-01-01,15,15,1,2,16,17,33
ANDAMARCA,consulta externa,menores de 6 meses,2015-01-01,6,9,0,1,6,10,16
ANTEQUERA,consulta externa,menores de 6 meses,2015-01-01,6,3,0,0,6,3,9
ANZALDO,consulta externa,menores de 6 meses,2015-01-01,11,12,2,2,13,14,27
APOLO,consulta externa,menores de 6 meses,2015-01-01,52,48,20,29,72,77,149
ARAMPAMPA,consulta externa,menores de 6 meses,2015-01-01,3,6,0,0,3,6,9
ARANI,consulta externa,menores de 6 meses,2015-01-01,18,11,2,3,20,14,34
ARBIETO,consulta externa,menores de 6 meses,2015-01-01,34,27,5,4,39,31,70
ARQUE,consulta externa,menores de 6 meses,2015-01-01,22,29,4,4,26,33,59
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2015-01-01,153,131,2,0,155,131,286
ATOCHA,consulta externa,menores de 6 meses,2015-01-01,43,39,7,9,50,48,98
AUCAPATA,consulta externa,menores de 6 meses,2015-01-01,2,5,0,0,2,5,7
AYATA,consulta externa,menores de 6 meses,2015-01-01,15,12,0,2,15,14,29
AYO AYO,consulta externa,menores de 6 meses,2015-01-01,20,21,0,0,20,21,41
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2015-01-01,52,53,3,4,55,57,112
AZURDUY,consulta externa,menores de 6 meses,2015-01-01,31,22,0,2,31,24,55
