,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,11,8,0,0,11,8,19
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,62,50,42,50,104,100,204
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,23,17,6,6,29,23,52
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,50,39,3,6,53,45,98
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,3,4,0,0,3,4,7
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,12,10,1,1,13,11,24
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,74,74,0,1,74,75,149
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,29,10,2,3,31,13,44
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,8,6,0,0,8,6,14
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,9,2,1,1,10,3,13
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,11,11,3,5,14,16,30
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,57,56,27,30,84,86,170
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,9,6,0,0,9,6,15
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,23,17,6,1,29,18,47
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,42,36,6,9,48,45,93
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,35,33,6,3,41,36,77
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,179,145,6,6,185,151,336
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,55,49,9,6,64,55,119
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2015-01-01,8,10,2,0,10,10,20
