,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2015-01-01,14,9,0,0,14,9,23
ACHACACHI,consulta externa,personas de 5 a 9 anos,2015-01-01,24,34,2,4,26,38,64
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2015-01-01,16,16,3,2,19,18,37
AIQUILE,consulta externa,personas de 5 a 9 anos,2015-01-01,48,35,7,9,55,44,99
ALALAY,consulta externa,personas de 5 a 9 anos,2015-01-01,1,2,0,0,1,2,3
ALCALA,consulta externa,personas de 5 a 9 anos,2015-01-01,26,35,0,0,26,35,61
ALTO BENI,consulta externa,personas de 5 a 9 anos,2015-01-01,30,33,0,0,30,33,63
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2015-01-01,11,8,0,0,11,8,19
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2015-01-01,11,8,1,0,12,8,20
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2015-01-01,5,6,0,0,5,6,11
ANZALDO,consulta externa,personas de 5 a 9 anos,2015-01-01,11,9,0,1,11,10,21
APOLO,consulta externa,personas de 5 a 9 anos,2015-01-01,17,16,1,1,18,17,35
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2015-01-01,5,2,0,0,5,2,7
ARANI,consulta externa,personas de 5 a 9 anos,2015-01-01,24,16,7,5,31,21,52
ARBIETO,consulta externa,personas de 5 a 9 anos,2015-01-01,24,26,6,4,30,30,60
ARQUE,consulta externa,personas de 5 a 9 anos,2015-01-01,18,14,1,1,19,15,34
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2015-01-01,46,45,2,0,48,45,93
ATOCHA,consulta externa,personas de 5 a 9 anos,2015-01-01,71,76,14,7,85,83,168
AUCAPATA,consulta externa,personas de 5 a 9 anos,2015-01-01,15,8,1,0,16,8,24
AYATA,consulta externa,personas de 5 a 9 anos,2015-01-01,13,14,0,0,13,14,27
AYO AYO,consulta externa,personas de 5 a 9 anos,2015-01-01,10,11,0,0,10,11,21
