,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2015-01-01,11,12,1,0,12,12,24
ACHACACHI,consulta externa,personas de 10 a 14 anos,2015-01-01,17,34,4,1,21,35,56
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2015-01-01,9,10,0,1,9,11,20
AIQUILE,consulta externa,personas de 10 a 14 anos,2015-01-01,41,38,6,2,47,40,87
ALALAY,consulta externa,personas de 10 a 14 anos,2015-01-01,1,2,0,0,1,2,3
ALCALA,consulta externa,personas de 10 a 14 anos,2015-01-01,16,20,0,0,16,20,36
ALTO BENI,consulta externa,personas de 10 a 14 anos,2015-01-01,23,20,0,0,23,20,43
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2015-01-01,8,6,0,3,8,9,17
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2015-01-01,13,10,1,1,14,11,25
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2015-01-01,4,5,0,0,4,5,9
ANZALDO,consulta externa,personas de 10 a 14 anos,2015-01-01,10,24,2,2,12,26,38
APOLO,consulta externa,personas de 10 a 14 anos,2015-01-01,7,13,0,1,7,14,21
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2015-01-01,2,4,0,0,2,4,6
ARANI,consulta externa,personas de 10 a 14 anos,2015-01-01,8,12,2,3,10,15,25
ARBIETO,consulta externa,personas de 10 a 14 anos,2015-01-01,22,18,3,2,25,20,45
ARQUE,consulta externa,personas de 10 a 14 anos,2015-01-01,13,8,0,0,13,8,21
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2015-01-01,22,24,0,0,22,24,46
ATOCHA,consulta externa,personas de 10 a 14 anos,2015-01-01,78,96,12,9,90,105,195
AUCAPATA,consulta externa,personas de 10 a 14 anos,2015-01-01,12,11,0,0,12,11,23
AYATA,consulta externa,personas de 10 a 14 anos,2015-01-01,11,11,5,0,16,11,27
AYO AYO,consulta externa,personas de 10 a 14 anos,2015-01-01,9,10,0,0,9,10,19
