,group,variable,month,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS REPETIDO,PERSONAS DE 15 A 19 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 15 a 19 anos,2015-01-01,4,13,0,1,4,14,18
ACHACACHI,consulta externa,personas de 15 a 19 anos,2015-01-01,37,58,1,4,38,62,100
ACHOCALLA,consulta externa,personas de 15 a 19 anos,2015-01-01,10,22,1,8,11,30,41
AIQUILE,consulta externa,personas de 15 a 19 anos,2015-01-01,53,115,5,21,58,136,194
ALALAY,consulta externa,personas de 15 a 19 anos,2015-01-01,2,2,0,1,2,3,5
ALCALA,consulta externa,personas de 15 a 19 anos,2015-01-01,10,24,1,0,11,24,35
ALTO BENI,consulta externa,personas de 15 a 19 anos,2015-01-01,38,46,2,1,40,47,87
ANCORAIMES,consulta externa,personas de 15 a 19 anos,2015-01-01,14,14,1,0,15,14,29
ANDAMARCA,consulta externa,personas de 15 a 19 anos,2015-01-01,17,10,0,0,17,10,27
ANTEQUERA,consulta externa,personas de 15 a 19 anos,2015-01-01,7,2,0,1,7,3,10
ANZALDO,consulta externa,personas de 15 a 19 anos,2015-01-01,18,16,5,5,23,21,44
APOLO,consulta externa,personas de 15 a 19 anos,2015-01-01,9,48,1,3,10,51,61
ARAMPAMPA,consulta externa,personas de 15 a 19 anos,2015-01-01,2,6,0,0,2,6,8
ARANI,consulta externa,personas de 15 a 19 anos,2015-01-01,11,18,0,1,11,19,30
ARBIETO,consulta externa,personas de 15 a 19 anos,2015-01-01,27,42,9,7,36,49,85
ARQUE,consulta externa,personas de 15 a 19 anos,2015-01-01,9,22,0,0,9,22,31
ASCENCION DE GUARAYOS,consulta externa,personas de 15 a 19 anos,2015-01-01,9,58,0,10,9,68,77
ATOCHA,consulta externa,personas de 15 a 19 anos,2015-01-01,94,95,33,20,127,115,242
AUCAPATA,consulta externa,personas de 15 a 19 anos,2015-01-01,12,8,2,0,14,8,22
AYATA,consulta externa,personas de 15 a 19 anos,2015-01-01,6,20,0,1,6,21,27
AYO AYO,consulta externa,personas de 15 a 19 anos,2015-01-01,13,23,0,0,13,23,36
