,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2015-01-01,31,84,1,2,32,86,118
ACHACACHI,consulta externa,personas de 20 a 39 anos,2015-01-01,89,197,23,35,112,232,344
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2015-01-01,22,88,4,38,26,126,152
AIQUILE,consulta externa,personas de 20 a 39 anos,2015-01-01,112,229,12,89,124,318,442
ALALAY,consulta externa,personas de 20 a 39 anos,2015-01-01,4,8,0,4,4,12,16
ALCALA,consulta externa,personas de 20 a 39 anos,2015-01-01,27,75,2,0,29,75,104
ALTO BENI,consulta externa,personas de 20 a 39 anos,2015-01-01,110,200,1,0,111,200,311
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2015-01-01,25,70,2,3,27,73,100
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2015-01-01,64,63,2,2,66,65,131
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2015-01-01,24,26,2,2,26,28,54
ANZALDO,consulta externa,personas de 20 a 39 anos,2015-01-01,30,58,10,15,40,73,113
APOLO,consulta externa,personas de 20 a 39 anos,2015-01-01,58,180,3,15,61,195,256
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2015-01-01,14,28,0,0,14,28,42
ARANI,consulta externa,personas de 20 a 39 anos,2015-01-01,29,59,2,4,31,63,94
ARBIETO,consulta externa,personas de 20 a 39 anos,2015-01-01,42,126,4,18,46,144,190
ARQUE,consulta externa,personas de 20 a 39 anos,2015-01-01,35,105,0,1,35,106,141
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2015-01-01,41,183,0,22,41,205,246
ATOCHA,consulta externa,personas de 20 a 39 anos,2015-01-01,327,474,66,72,393,546,939
AUCAPATA,consulta externa,personas de 20 a 39 anos,2015-01-01,39,57,1,0,40,57,97
AYATA,consulta externa,personas de 20 a 39 anos,2015-01-01,25,61,0,3,25,64,89
AYO AYO,consulta externa,personas de 20 a 39 anos,2015-01-01,36,62,0,2,36,64,100
