,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2015-01-01,54,88,0,0,54,88,142
ACHACACHI,consulta externa,personas de 60 anos y mas,2015-01-01,391,477,244,211,635,688,1323
ACHOCALLA,consulta externa,personas de 60 anos y mas,2015-01-01,43,40,17,16,60,56,116
AIQUILE,consulta externa,personas de 60 anos y mas,2015-01-01,189,246,62,79,251,325,576
ALALAY,consulta externa,personas de 60 anos y mas,2015-01-01,12,25,2,5,14,30,44
ALCALA,consulta externa,personas de 60 anos y mas,2015-01-01,48,73,1,0,49,73,122
ALTO BENI,consulta externa,personas de 60 anos y mas,2015-01-01,201,119,0,1,201,120,321
ANCORAIMES,consulta externa,personas de 60 anos y mas,2015-01-01,127,167,27,31,154,198,352
ANDAMARCA,consulta externa,personas de 60 anos y mas,2015-01-01,67,98,7,3,74,101,175
ANTEQUERA,consulta externa,personas de 60 anos y mas,2015-01-01,39,44,2,8,41,52,93
ANZALDO,consulta externa,personas de 60 anos y mas,2015-01-01,89,139,43,62,132,201,333
APOLO,consulta externa,personas de 60 anos y mas,2015-01-01,135,129,26,29,161,158,319
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2015-01-01,40,64,0,0,40,64,104
ARANI,consulta externa,personas de 60 anos y mas,2015-01-01,47,70,17,23,64,93,157
ARBIETO,consulta externa,personas de 60 anos y mas,2015-01-01,70,111,33,42,103,153,256
ARQUE,consulta externa,personas de 60 anos y mas,2015-01-01,64,97,5,7,69,104,173
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2015-01-01,141,128,20,15,161,143,304
ATOCHA,consulta externa,personas de 60 anos y mas,2015-01-01,141,172,47,33,188,205,393
AUCAPATA,consulta externa,personas de 60 anos y mas,2015-01-01,81,80,2,0,83,80,163
AYATA,consulta externa,personas de 60 anos y mas,2015-01-01,87,123,22,25,109,148,257
AYO AYO,consulta externa,personas de 60 anos y mas,2015-01-01,52,62,3,7,55,69,124
