,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2015-01-01,16,32,0,0,16,32,48
ACHACACHI,consulta externa,personas de 50 a 59 anos,2015-01-01,30,64,8,18,38,82,120
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2015-01-01,6,6,2,1,8,7,15
AIQUILE,consulta externa,personas de 50 a 59 anos,2015-01-01,54,104,20,34,74,138,212
ALALAY,consulta externa,personas de 50 a 59 anos,2015-01-01,3,3,0,0,3,3,6
ALCALA,consulta externa,personas de 50 a 59 anos,2015-01-01,18,40,0,0,18,40,58
ALTO BENI,consulta externa,personas de 50 a 59 anos,2015-01-01,26,43,1,1,27,44,71
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2015-01-01,15,12,1,3,16,15,31
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2015-01-01,20,18,5,0,25,18,43
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2015-01-01,5,9,1,0,6,9,15
ANZALDO,consulta externa,personas de 50 a 59 anos,2015-01-01,34,13,8,7,42,20,62
APOLO,consulta externa,personas de 50 a 59 anos,2015-01-01,7,15,2,2,9,17,26
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2015-01-01,3,2,0,0,3,2,5
ARANI,consulta externa,personas de 50 a 59 anos,2015-01-01,9,15,0,1,9,16,25
ARBIETO,consulta externa,personas de 50 a 59 anos,2015-01-01,13,31,3,12,16,43,59
ARQUE,consulta externa,personas de 50 a 59 anos,2015-01-01,14,19,0,0,14,19,33
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2015-01-01,11,51,0,0,11,51,62
ATOCHA,consulta externa,personas de 50 a 59 anos,2015-01-01,207,157,56,38,263,195,458
AUCAPATA,consulta externa,personas de 50 a 59 anos,2015-01-01,15,23,0,0,15,23,38
AYATA,consulta externa,personas de 50 a 59 anos,2015-01-01,13,31,0,1,13,32,45
AYO AYO,consulta externa,personas de 50 a 59 anos,2015-01-01,11,19,0,2,11,21,32
