municipality,group,variable,month,Partos atendidos por partera en servicio,TOTAL
SORATA,atencion de partos en servicios,partos atendidos por partera en servicio,2019-01-01,0.0,0.0
SORATA,atencion de partos en servicios,partos atendidos por partera en servicio,2019-02-01,0.0,0.0
SORATA,atencion de partos en servicios,partos atendidos por partera en servicio,2019-03-01,0.0,0.0
CAMARGO,atencion de partos en servicios,partos atendidos por partera en servicio,2019-04-01,1.0,1.0
SORATA,atencion de partos en servicios,partos atendidos por partera en servicio,2019-04-01,0.0,0.0
SORATA,atencion de partos en servicios,partos atendidos por partera en servicio,2019-06-01,0.0,0.0
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2019-07-01,1.0,1.0
SORATA,atencion de partos en servicios,partos atendidos por partera en servicio,2019-07-01,0.0,0.0
SORATA,atencion de partos en servicios,partos atendidos por partera en servicio,2019-08-01,0.0,0.0
GUAYARAMERIN,atencion de partos en servicios,partos atendidos por partera en servicio,2019-10-01,4.0,4.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2019-12-01,1.0,1.0
