municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,2,2
AIQUILE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,2,2
ANZALDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,2,2
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CARACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,3,3
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
CKOCHAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,11,11
COCAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,110,110
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,2,2
COLOMI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
COTAGAITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,105,105
ESCOMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,149,149
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,3,3
LLICA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
MAPIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
MINEROS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
MIZQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,15,15
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,39,39
PALOS BLANCOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,2,2
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,44,44
PRESTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,5,5
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,2,2
RAQAYPAMPA(ETA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2019-01-01,1,1
