municipality,group,variable,month,RN con apego precoz,TOTAL
ACACIO,atencion de partos en servicios,rn con apego precoz,2019-01-01,2,2
ACHACACHI,atencion de partos en servicios,rn con apego precoz,2019-01-01,18,18
ACHOCALLA,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
AIQUILE,atencion de partos en servicios,rn con apego precoz,2019-01-01,26,26
ALCALA,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
ALTO BENI,atencion de partos en servicios,rn con apego precoz,2019-01-01,8,8
ANCORAIMES,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
ANDAMARCA,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
ANZALDO,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
APOLO,atencion de partos en servicios,rn con apego precoz,2019-01-01,11,11
ARANI,atencion de partos en servicios,rn con apego precoz,2019-01-01,4,4
ARBIETO,atencion de partos en servicios,rn con apego precoz,2019-01-01,2,2
ARQUE,atencion de partos en servicios,rn con apego precoz,2019-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con apego precoz,2019-01-01,28,28
ATOCHA,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
AYO AYO,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con apego precoz,2019-01-01,23,23
AZURDUY,atencion de partos en servicios,rn con apego precoz,2019-01-01,16,16
BATALLAS,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
BAURES,atencion de partos en servicios,rn con apego precoz,2019-01-01,6,6
BELEN DE ANDAMARCA,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
BELLA FLOR,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
BERMEJO,atencion de partos en servicios,rn con apego precoz,2019-01-01,23,23
BETANZOS,atencion de partos en servicios,rn con apego precoz,2019-01-01,20,20
BOYUIBE,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
BUENA VISTA,atencion de partos en servicios,rn con apego precoz,2019-01-01,6,6
CABEZAS,atencion de partos en servicios,rn con apego precoz,2019-01-01,25,25
CAIROMA,atencion de partos en servicios,rn con apego precoz,2019-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,rn con apego precoz,2019-01-01,4,4
CAJUATA,atencion de partos en servicios,rn con apego precoz,2019-01-01,13,13
CALAMARCA,atencion de partos en servicios,rn con apego precoz,2019-01-01,2,2
CAMARGO,atencion de partos en servicios,rn con apego precoz,2019-01-01,15,15
CAMIRI,atencion de partos en servicios,rn con apego precoz,2019-01-01,23,23
CAPINOTA,atencion de partos en servicios,rn con apego precoz,2019-01-01,13,13
CAQUIAVIRI,atencion de partos en servicios,rn con apego precoz,2019-01-01,4,4
CARACOLLO,atencion de partos en servicios,rn con apego precoz,2019-01-01,10,10
CARANAVI,atencion de partos en servicios,rn con apego precoz,2019-01-01,76,76
CARAPARI,atencion de partos en servicios,rn con apego precoz,2019-01-01,13,13
CARIPUYO,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con apego precoz,2019-01-01,8,8
CHALLAPATA,atencion de partos en servicios,rn con apego precoz,2019-01-01,34,34
CHAQUI,atencion de partos en servicios,rn con apego precoz,2019-01-01,2,2
CHARAGUA,atencion de partos en servicios,rn con apego precoz,2019-01-01,34,34
CHAYANTA,atencion de partos en servicios,rn con apego precoz,2019-01-01,6,6
CHIMORE,atencion de partos en servicios,rn con apego precoz,2019-01-01,16,16
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con apego precoz,2019-01-01,25,25
CHUMA,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con apego precoz,2019-01-01,2,2
CKOCHAS,atencion de partos en servicios,rn con apego precoz,2019-01-01,11,11
CLIZA,atencion de partos en servicios,rn con apego precoz,2019-01-01,14,14
COBIJA,atencion de partos en servicios,rn con apego precoz,2019-01-01,93,93
COCAPATA,atencion de partos en servicios,rn con apego precoz,2019-01-01,8,8
COCHABAMBA,atencion de partos en servicios,rn con apego precoz,2019-01-01,1156,1156
COLCAPIRHUA,atencion de partos en servicios,rn con apego precoz,2019-01-01,48,48
"COLCHA ""K""",atencion de partos en servicios,rn con apego precoz,2019-01-01,4,4
COLLANA,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
COLOMI,atencion de partos en servicios,rn con apego precoz,2019-01-01,17,17
COLPA BELGICA,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
COLQUECHACA,atencion de partos en servicios,rn con apego precoz,2019-01-01,21,21
COLQUENCHA,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
COLQUIRI,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
COMARAPA,atencion de partos en servicios,rn con apego precoz,2019-01-01,28,28
CONCEPCION,atencion de partos en servicios,rn con apego precoz,2019-01-01,25,25
COPACABANA,atencion de partos en servicios,rn con apego precoz,2019-01-01,13,13
CORIPATA,atencion de partos en servicios,rn con apego precoz,2019-01-01,5,5
CORO CORO,atencion de partos en servicios,rn con apego precoz,2019-01-01,2,2
COROICO,atencion de partos en servicios,rn con apego precoz,2019-01-01,19,19
CORQUE,atencion de partos en servicios,rn con apego precoz,2019-01-01,3,3
COTAGAITA,atencion de partos en servicios,rn con apego precoz,2019-01-01,8,8
COTOCA,atencion de partos en servicios,rn con apego precoz,2019-01-01,64,64
CUATRO CAÑADAS,atencion de partos en servicios,rn con apego precoz,2019-01-01,14,14
CULPINA,atencion de partos en servicios,rn con apego precoz,2019-01-01,16,16
CURAHUARA DE CARANGAS,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
DESAGUADERO,atencion de partos en servicios,rn con apego precoz,2019-01-01,7,7
EL ALTO,atencion de partos en servicios,rn con apego precoz,2019-01-01,1169,1169
EL PUENTE(STC),atencion de partos en servicios,rn con apego precoz,2019-01-01,8,8
EL PUENTE(TJA),atencion de partos en servicios,rn con apego precoz,2019-01-01,6,6
EL TORNO,atencion de partos en servicios,rn con apego precoz,2019-01-01,97,97
EL VILLAR,atencion de partos en servicios,rn con apego precoz,2019-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,rn con apego precoz,2019-01-01,10,10
ENTRE RIOS CBBA,atencion de partos en servicios,rn con apego precoz,2019-01-01,27,27
