municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,2,2
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,11,11
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,18,18
EL TORNO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
HUACARETA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,10,10
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
MAIRANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,9,9
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,2,2
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
SAN MATIAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,18,18
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,30,30
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,2,2
YAPACANI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
YOTALA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2019-02-01,2,2
