municipality,group,variable,month,Nacidos muertos,TOTAL
CAMIRI,atencion de partos en servicios,nacidos muertos,2019-01-01,3,3
CARANAVI,atencion de partos en servicios,nacidos muertos,2019-01-01,3,3
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2019-01-01,2,2
COBIJA,atencion de partos en servicios,nacidos muertos,2019-01-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2019-01-01,16,16
COLQUECHACA,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2019-01-01,25,25
EL TORNO,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2019-01-01,11,11
LAGUNILLAS,atencion de partos en servicios,nacidos muertos,2019-01-01,2,2
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2019-01-01,2,2
MAIRANA,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2019-01-01,3,3
ORURO,atencion de partos en servicios,nacidos muertos,2019-01-01,9,9
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2019-01-01,3,3
PRESTO,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
PUCARANI,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2019-01-01,2,2
SACABA,atencion de partos en servicios,nacidos muertos,2019-01-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2019-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2019-01-01,2,2
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2019-01-01,65,65
SHINAOTA,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos,2019-01-01,3,3
TARATA,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
TARVITA,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2019-01-01,2,2
UYUNI,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2019-01-01,1,1
