municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
ACHACACHI,atencion de partos en servicios,nacidos vivos,2019-01-01,18,18
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
AIQUILE,atencion de partos en servicios,nacidos vivos,2019-01-01,34,34
ALCALA,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
ALTO BENI,atencion de partos en servicios,nacidos vivos,2019-01-01,8,8
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
ANDAMARCA,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
ANZALDO,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
APOLO,atencion de partos en servicios,nacidos vivos,2019-01-01,11,11
ARANI,atencion de partos en servicios,nacidos vivos,2019-01-01,4,4
ARBIETO,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
ARQUE,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2019-01-01,50,50
ATOCHA,atencion de partos en servicios,nacidos vivos,2019-01-01,11,11
AYO AYO,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2019-01-01,23,23
AZURDUY,atencion de partos en servicios,nacidos vivos,2019-01-01,16,16
BATALLAS,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
BAURES,atencion de partos en servicios,nacidos vivos,2019-01-01,6,6
BELEN DE ANDAMARCA,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
BELLA FLOR,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos,2019-01-01,56,56
BETANZOS,atencion de partos en servicios,nacidos vivos,2019-01-01,20,20
BOLPEBRA,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2019-01-01,6,6
CABEZAS,atencion de partos en servicios,nacidos vivos,2019-01-01,25,25
CAIROMA,atencion de partos en servicios,nacidos vivos,2019-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2019-01-01,4,4
CAJUATA,atencion de partos en servicios,nacidos vivos,2019-01-01,13,13
CALAMARCA,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
CAMARGO,atencion de partos en servicios,nacidos vivos,2019-01-01,24,24
CAMIRI,atencion de partos en servicios,nacidos vivos,2019-01-01,83,83
CAPINOTA,atencion de partos en servicios,nacidos vivos,2019-01-01,13,13
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
CARACOLLO,atencion de partos en servicios,nacidos vivos,2019-01-01,10,10
CARANAVI,atencion de partos en servicios,nacidos vivos,2019-01-01,74,74
CARAPARI,atencion de partos en servicios,nacidos vivos,2019-01-01,13,13
CARIPUYO,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2019-01-01,8,8
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2019-01-01,34,34
CHAQUI,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
CHARAGUA,atencion de partos en servicios,nacidos vivos,2019-01-01,35,35
CHAYANTA,atencion de partos en servicios,nacidos vivos,2019-01-01,6,6
CHIMORE,atencion de partos en servicios,nacidos vivos,2019-01-01,16,16
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos,2019-01-01,31,31
CHUMA,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
CKOCHAS,atencion de partos en servicios,nacidos vivos,2019-01-01,11,11
CLIZA,atencion de partos en servicios,nacidos vivos,2019-01-01,14,14
COBIJA,atencion de partos en servicios,nacidos vivos,2019-01-01,145,145
COCAPATA,atencion de partos en servicios,nacidos vivos,2019-01-01,8,8
COCHABAMBA,atencion de partos en servicios,nacidos vivos,2019-01-01,1759,1759
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos,2019-01-01,48,48
"COLCHA ""K""",atencion de partos en servicios,nacidos vivos,2019-01-01,4,4
COLLANA,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
COLOMI,atencion de partos en servicios,nacidos vivos,2019-01-01,18,18
COLPA BELGICA,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
COLQUECHACA,atencion de partos en servicios,nacidos vivos,2019-01-01,21,21
COLQUENCHA,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
COLQUIRI,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
COMARAPA,atencion de partos en servicios,nacidos vivos,2019-01-01,28,28
CONCEPCION,atencion de partos en servicios,nacidos vivos,2019-01-01,25,25
COPACABANA,atencion de partos en servicios,nacidos vivos,2019-01-01,13,13
CORIPATA,atencion de partos en servicios,nacidos vivos,2019-01-01,5,5
CORO CORO,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
COROICO,atencion de partos en servicios,nacidos vivos,2019-01-01,24,24
CORQUE,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
COTAGAITA,atencion de partos en servicios,nacidos vivos,2019-01-01,8,8
COTOCA,atencion de partos en servicios,nacidos vivos,2019-01-01,64,64
CUATRO CAÑADAS,atencion de partos en servicios,nacidos vivos,2019-01-01,14,14
CULPINA,atencion de partos en servicios,nacidos vivos,2019-01-01,16,16
CURAHUARA DE CARANGAS,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
DESAGUADERO,atencion de partos en servicios,nacidos vivos,2019-01-01,7,7
EL ALTO,atencion de partos en servicios,nacidos vivos,2019-01-01,1359,1359
EL PUENTE(STC),atencion de partos en servicios,nacidos vivos,2019-01-01,8,8
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos,2019-01-01,6,6
EL TORNO,atencion de partos en servicios,nacidos vivos,2019-01-01,97,97
EL VILLAR,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos vivos,2019-01-01,14,14
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos vivos,2019-01-01,27,27
ESCOMA,atencion de partos en servicios,nacidos vivos,2019-01-01,7,7
EUCALIPTUS,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
EXALTACION,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos vivos,2019-01-01,7,7
FILADELFIA,atencion de partos en servicios,nacidos vivos,2019-01-01,4,4
GENERAL SAAVEDRA,atencion de partos en servicios,nacidos vivos,2019-01-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
GUANAY,atencion de partos en servicios,nacidos vivos,2019-01-01,12,12
GUAQUI,atencion de partos en servicios,nacidos vivos,2019-01-01,4,4
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos,2019-01-01,98,98
GUTIERREZ,atencion de partos en servicios,nacidos vivos,2019-01-01,4,4
HUACARETA,atencion de partos en servicios,nacidos vivos,2019-01-01,7,7
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
HUACHACALLA,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
HUANUNI,atencion de partos en servicios,nacidos vivos,2019-01-01,22,22
HUARACAJE,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
HUARINA,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
HUATAJATA,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
HUAYLLAMARCA,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
ICHOCA,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
ICLA,atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
INCAHUASI,atencion de partos en servicios,nacidos vivos,2019-01-01,9,9
INGAVI (HUMAITA),atencion de partos en servicios,nacidos vivos,2019-01-01,2,2
INQUISIVI,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos vivos,2019-01-01,12,12
IXIAMAS,atencion de partos en servicios,nacidos vivos,2019-01-01,4,4
JESUS DE MACHACA,atencion de partos en servicios,nacidos vivos,2019-01-01,7,7
LA ASUNTA,atencion de partos en servicios,nacidos vivos,2019-01-01,42,42
LA GUARDIA,atencion de partos en servicios,nacidos vivos,2019-01-01,52,52
LA PAZ,atencion de partos en servicios,nacidos vivos,2019-01-01,1493,1493
LAGUNILLAS,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
LAJA,atencion de partos en servicios,nacidos vivos,2019-01-01,11,11
LAS CARRERAS,atencion de partos en servicios,nacidos vivos,2019-01-01,3,3
LICOMA PAMPA,atencion de partos en servicios,nacidos vivos,2019-01-01,1,1
LLALLAGUA,atencion de partos en servicios,nacidos vivos,2019-01-01,73,73
LLICA,atencion de partos en servicios,nacidos vivos,2019-01-01,4,4
