municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACHACACHI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,1,1
ALTO BENI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,4,4
ANZALDO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,2,2
ARQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,50,50
ATOCHA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,2,2
AZURDUY,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,13,13
BATALLAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,1,1
BAURES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,6,6
BELEN DE ANDAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,1,1
BELLA FLOR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,1,1
BETANZOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,3,3
BUENA VISTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,3,3
CAJUATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,5,5
CALAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,1,1
CAMARGO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,1,1
CAMIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,34,34
CAQUIAVIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,1,1
CARANAVI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,2,2
CARAPARI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,12,12
CARMEN RIVERO TORREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2019-01-01,8,8
