municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,2,2
ACHACACHI,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,17,17
ACHOCALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,3,3
AIQUILE,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,34,34
ALCALA,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,1,1
ALTO BENI,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,4,4
ANCORAIMES,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,1,1
ANDAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,1,1
ANZALDO,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,1,1
APOLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,11,11
ARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,4,4
ARBIETO,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,2,2
ARQUE,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,1,1
ATOCHA,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,8,8
AYO AYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,21,21
AZURDUY,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,3,3
BATALLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,2,2
BERMEJO,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,55,55
BETANZOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,17,17
BOYUIBE,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,3,3
CABEZAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,25,25
CAIROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,5,5
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,1,1
CAJUATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,8,8
CALAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,2,2
CAMARGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2019-01-01,23,23
