,group,variable,month,NRO. DE TRATAMIENTOS INICIADOS CON SUERO ANTIARACNIDO CANTIDAD,NRO. DE TRATAMIENTOS INICIADOS CON SUERO ANTIARACNIDO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
HUACARETA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiaracnido,2024-01-01,2.0,0.0,2.0,0.0,2.0
MAGDALENA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiaracnido,2024-01-01,1.0,0.0,1.0,0.0,1.0
SENA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiaracnido,2024-01-01,1.0,1.0,1.0,1.0,2.0
QUIME,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiaracnido,2024-07-01,1.0,1.0,1.0,1.0,2.0
SANTA ROSA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiaracnido,2024-08-01,1.0,0.0,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiaracnido,2024-10-01,2.0,1.0,2.0,1.0,3.0
COCHABAMBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiaracnido,2024-11-01,1.0,4.0,1.0,4.0,5.0
COCHABAMBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiaracnido,2024-12-01,1.0,1.0,1.0,1.0,2.0
