,group,variable,month,NRO. DE TRATAMIENTOS INICIADOS CON SUERO ANTIESCORPIONICO CANTIDAD,NRO. DE TRATAMIENTOS INICIADOS CON SUERO ANTIESCORPIONICO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-01-01,1.0,3.0,1.0,3.0,4.0
SAN IGNACIO DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-01-01,2.0,1.0,2.0,1.0,3.0
GUAYARAMERIN,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-04-01,2.0,0.0,2.0,0.0,2.0
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-04-01,1.0,0.0,1.0,0.0,1.0
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-05-01,0.0,2.0,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-05-01,1.0,0.0,1.0,0.0,1.0
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-06-01,1.0,1.0,1.0,1.0,2.0
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-07-01,1.0,1.0,1.0,1.0,2.0
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-09-01,2.0,2.0,2.0,2.0,4.0
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-10-01,2.0,1.0,2.0,1.0,3.0
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-11-01,0.0,4.0,0.0,4.0,4.0
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos iniciados con suero antiescorpionico,2024-12-01,1.0,2.0,1.0,2.0,3.0
